country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9,,,,,,,,,,,,,,,,2.31,,,8.72,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,,,,0.79,,6.21,,,7.86,,,8.78
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,,,,,3.1,4.86,3.66,,,8.79,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.83,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,10.9,10.1,10.1,11,13.1,17,17.6,14.9,14.3,12.9,11,10.7,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11,1.18,9.1,,,,,,,,,7.47,8.9,9.74,11.4,,11,,,,14.1,15.6,9.9,9.46,7.31,6.86,,8.06,,,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,,,,,,,,,,0.64,0.94,,0.89,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.14,6.63,5.53,,4.36,5.56,4.69,4.28,4.41,3.95,4.69,,,5.59,6.03,7.06,8.52
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.86,17.9,15.5,15.5,14.6,14.7,12.3,14.4,16.2,16.9,17.4,17,16.8,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.07,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.12,3.18,3.12,4.36,6.93,6.17,5.63,5.48,5.66,4.76,4.17,4.87,7.54,8.7,9.1,7.86,6.95,6.74,6.66,6.33,5.57,5.15,5.41,5.06,4.58,3.96,3.65,3.44,2.95,2.91,4.51,3.74,3.57,3.8,4.44,4.59,4.56,4.09,4.06,3.83,3.82,5.1
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,3.24,3.79,3.5,3.08,3.4,3.01,2.64,2.62,2.96,3.04,3.59,2.91,3.6,5.11,4.55,4.92,4.48,4.19,3.4,4.57,4.46,4.74,4.48,4.13,3.84,3.4,4.93,4.57,3.89,4.35,4.98,5.36,5.45,5.7,5.5,4.66,4.17,4.95
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,9.29,8.55,7.94,7.44,6.42,5.66,5.35,5.4,4.4,3.97,2.86,3.16,3.22,3,3.05,3.15,3.26,3.2,3.26,3.22,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,,,,,,,,,,1.68,,,,,,
