country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.54,,,,,,,,,,,,,,,,4.96,,,9.27,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,2.59,,8.45,,,10.3,,,14.8
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.7,,,,,1.72,7.3,4.82,,,7.99,,,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.4,12.2,13.6,13.7,13.6,11.3,13.2,14.9,16.1,13.5,12,11.3,10.6,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,,,,,,,15.2,15.9,16.8,18.1,,15.3,,,,15.5,17.3,15.8,14.5,11.6,10.2,,9.89,,,,,,,,,
UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.27,,,,,,,,,,,3.41,6.13,,4.3,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1,10.5,9.4,,7.94,7.79,7.33,6.86,7.07,6.87,6.84,,,7.37,8.74,9.03,9.95
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.8,22.6,18.2,19.3,17.6,17.6,17.6,18,19.8,16.8,17.4,20.4,19.1,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.89,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29,5.05,5,5.93,7.64,6.87,6.4,6.41,6.41,6.01,5.19,5.39,7,7.69,7.96,7.33,6.21,6.45,6.43,5.8,5.31,4.91,5.18,5.01,4.87,4.36,4.12,3.99,3.91,3.91,4.57,4.4,4.37,4.36,4.7,5.13,5.23,4.97,4.8,4.44,4.19,5.26
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74,4.3,2.97,3.33,2.58,3.64,3.73,3.34,3.55,3.65,3.68,4.48,3.79,4.79,5.1,5.03,5.2,4.59,4.36,3.8,4.28,3.99,4.94,5.27,5.15,4.71,3.85,4.49,4.17,4.08,4.31,4.8,5.01,4.88,5.12,4.74,4.13,4.17,4.97
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5,10.2,8.57,7.18,6.9,5.41,5.46,4.75,4.69,4.77,5.37,5.91,5.38,4.98,4.97,4.87,4.92,5.09,4.97,4.89,4.78,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,1.07,,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.3,15.7,15.3,16.2,15.4,13.8,12,10.3,9.81,8.8,9.87,11.2,11.1,11.3,10.2,10.7,8.97,7.39,6.13,7.2,7.41,7.35,8.39,8.12,7.36,6.6,6.88,7.46,6.32,6.6,7.18,6.97,7.14,6.87,6.22,5.04,4.42,4.85
Benin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,0.39,,,,,,,,0.84,2.27,,,,,,,1.2,,
Burkina Faso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.74,,,,4.04,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.48,,,0.3,,,,,,,0.9,,,,0.79,,,4.56,,5.11,4.62,,,,2.97,,,7.05,,,6.21,4.85,,,
Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7,16.8,16,12.3,10.7,8.96,8.34,6.46,5.18,5.97,8.82,9.37,9.98,10.9,9.55,7.76,6.58,5.8,4.56,3.74,4.6
Bahrain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.49,,2.62,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,7.06,,,,,8.65,,9.13,,6.97,7.77,11.8,,12.2,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.2,30.3,25.3,24,28.1,28.9,29.6,28.5,30.5,29.3,29.9,23.3,20.6,19.9,17.8
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.67,3.59,2.9,2.77,2.74
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.16,10.3,7.53,8.02,5.89,,9.43,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78,,,,,,,,,1.55,5.44,,5.22,,6.31,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,11.9,,,,,,,,3.16,,,,,,,,,,,,,2.71,3.3,,1.9,2.7,2.96,2.26,3.48,4.03,4.16,3.68,4.31,10.1
