country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5,5.86,,,,,,,,1.68,,,,,,,,,,,,,,,,1.31,1.38,0.61,0.55,0.79,0.89,1.14,0.96,0.52,4.04
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,3.1,2.68,3.67,3.59,,3.85,3.09,3.27,3.27,3.4,3.01,2.87,2.93,3.53,,2.61,2.39,2.25,2.24,2.89,4.46,5.1,5.31,5.7,7.17
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.41,,,8.33,13.5,20.5,6.82,6.06,8.11,13.5,,,10.3,,4.65,,,,,,11.3,,,,,,6.38,5.66,,,6.6,5.98,3.41,2.89,3.87,4.38,3.5,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.11,,,2.66,,1.2,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,1.59,,,,0.07,0.23,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,,,,,,2.28,,,,,7.63,,,,,,,,,,4.91,,,6.01,6.23,,,,,,,,,17.3,15.8
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.61,5.43,5.6,4.87,5.16,4.47,6.62,8.14,7.57,7.81,7.35,7.67,6.12,6.07,5.71,7.95,8.47,9.55,8.4,8.03,7.56,7.64,6.72,5.33,5.51,5.64,5.8,5.53,5.67,5.34,5.1,4.88,4.89,5.65,5.61,5.98,5.73,5.76,5.47,5.44,5.63,5.22,4.8,4.73,7.62
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.58,2.62,3.16,3.4,1.77,3.24,2.59,1.79,2.55,2.34,1.6,1.84,2.49,3.39,3.67,3.38,3.79,2.67,2.33,3.44,3.67,3.38,3.13,3.17,3.54,3.13,3.35,3.74,3.62,3.24
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.25,3.19,,1.06,,2.96,1.58,0.63,0.98,1.05,0.96,2.16,1.84,2.67,2.43,2.61,4.28,4.32,3.21,3.87,4.79,4.14,3.88,4.22,4.64,4.36,5.18,4.19,4.22,3.56,3.1,3.35,2.96,4.34,4.18,4.4,4.03,7.44
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.89,,,,,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.83,,,,1.06,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,,,,,,,1.09,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42,,,,33.4,,,,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21,,,,,,,,,,,,,,,,,,,,5.13,,,,,,,,,
