country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.2,18.2,,,,,,,,3.13,,,,,,,,,,,,,,1.79,,0.47,0.95,0.57,0.91,1.22,1.53,2.1,2.17,1.12,4.09
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,3.48,3.27,3.78,4.72,,4.55,3.93,4.49,3.56,3.43,3.58,3.17,2.33,2.98,,2.39,2.87,2.66,2.69,3.62,5.54,6.67,6.46,6.33,7.49
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,,,5.36,7.27,9.8,5.36,5.88,8,16.4,,,10.9,,5.17,,,,,,5.13,,,,,,5.26,6.35,,,7.75,7.26,5.84,3.75,5.56,4.53,6.22,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.18,,,1.32,1.94,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05,0.53,0.35,0.69,0.05,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,,,,,,4.23,,,,,14.4,,,,,,,,,,6.71,,,6.07,6.5,,,,,,,,,12.9,16.5
Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.04,5.08,5.62,4.68,4.44,4.63,7.3,8.56,8.42,8.69,7.5,6.81,6.44,6.52,6.31,8.44,9.77,10.2,9.69,8.52,7.96,7.58,6.96,6.36,5.45,5.95,6.59,6.83,6.11,5.4,5.33,5.21,5.76,8.08,7.42,7.19,6.61,6.83,6.75,6.62,6.98,6.26,5.88,5.81,8.28
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,1.35,2.15,3.67,4.51,3.98,3.13,3.1,4.02,2.54,2.97,1.77,2.09,2.49,3.1,3.74,2.8,2.6,2.47,3.02,3.51,3.43,3.33,3.36,3.44,4.44,4.32,4.22,4.2,4.1,4.51
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,8.49,,5.56,,3.58,3.5,2.54,2.48,1.92,2.61,3.24,2.85,4.64,4.73,5.33,8.76,8.09,7.15,6.39,6.15,6.06,5.51,4.85,4.78,4.72,7.48,4.6,3.97,3.57,3.07,4.15,3.39,3.98,4.21,4.42,4.09,7.42
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.18,2.83,,,1.29,1.16,,,
