country,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.5,,,,,,,,,,,,,,,28.9,26.7,21.4,23.1,25.7,26.1,26.4,26.6,25.2,25.8,22.5,18.9,17.2,13.7,14.1
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.2,0.9,1.6,2.2,3,1.9,1.6,1.6,1.7,1.9,2.3,1.2,1.2,1,0.8,0.7,0.7,7.5,,0.6,0.6,0.6,0.7,1.2,7.48,7.23,5.93,5.11,4.88
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.64,8.99,9.94,11.7,8.86,10.6,9,,5.79,7.47,,,7.34,6.21,5.85,,,,,,5.82,4.75,5.44,4.4,4.59,,5.87,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.13,,,,,,,,,5.96,7.01,,8.7,7.72,9.8,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.8,22.2,22.6,20,10.2,6.18,6.22,5.48,6.54,3.26,3.38,4.98,2.11,,3.38,3.58,4.46,4.31,,3.56,4.54,4.54,4.53,1.98,2.46,,1.92,1.49,1.98,1.36,2.62,3.09,3.34,3.44,3.37,6.42
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,2.12,2.15,2.75,,3.9,4.7,4.62,3.9,3.17,2.22,3.34,3.54,3.01,3.83,,5.41,5.16,,5.37,5.81,6.45,7.38,8.15,,7.77,7.57,8.04,6.97,7.33,6.57,6.21,5.38,6.36,,5.05,5.79,5.64,5.57,7.19,10.2,11.3,10.8,10.2,11.9
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.16,8.34,11.2,7.1,7.51,5.44,6.93,7.21,12.9,14.2,13,13.2,12.6,9.15,6.07,6.58,20.6,21.6,18.4,16.6,11.7,11.4,8.53,7.89,7.49,8.01,8.5,9.53,,,,,,10.2,10.9,,,11.7,11.8,10.6,7.85,8.47,8.12,9.53,
Brunei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,2.44,2.59,1.92,1.97,,,,,,,,3.7,,,,,,,,,,,,,,,,,,,,,,,6.27,,,8.8,7.72,6.01,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.2,,1.3,,,1.89,2.9,2.63,,,2.64,2.7,1.85,1.9,2.2,1.91,1.84,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,,,,,,11.7,,,19.7,,19.5,,18.6,,14.8,15.7,,21.4,,,15.6,,,13,14.6,,,,,,,,,21.7,24.2
Canada,,,,,,,,,,,,,,,,,,,,,,,6.5,7,6.8,5.8,5.6,,6.42,7.36,7.64,6.77,7.01,7.16,11.3,12.3,11.4,10.4,9.47,8.53,7.43,7.37,8.16,10.8,12,11.9,10.9,9.8,9.89,9.25,8.52,7.83,6.94,7.53,8.13,7.94,7.48,7.01,6.52,6.38,6.57,9.54,8.79,7.96,7.72,7.5,7.38,7.46,7.68,6.78,6.14,6.03,9.53
Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.8,0.4,0.3,0.3,0.2,0.2,0.4,0.8,1,0.8,0.7,0.6,0.6,0.5,1.71,1.22,2.26,3.07,3.47,2.88,3.41,4.37,3.17,2.81,2.3,1.7,2.78,3.81,3.94,3.89,3.4,2.93,2.82,3.77,4.48,4.07,4.28,4.6,4.69,4.7,4.84,4.57,4.37,4.11,4.66
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.4,11.4,13.4,13.5,10.6,11.9,20.2,14.6,13,,8.34,,5.6,5,5.65,5.06,3.89,4.19,5.43,4.44,6.13,5.88,6.26,10.1,9.45,9.59,9.32,8.55,8.55,7.64,7.42,6.95,7.51,9.97,7.45,6.31,5.65,5.55,6.34,6.07,6.37,6.6,6.69,6.76,11
Cote d'Ivoire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13,3.55,,,2.08,2.86,,,
Cameroon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.47,,,,,8.18,,,,4.2,,2.64,,,3.4,,,,3.06,,,,,,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.51,,,,,,,5.32,,,,,,,,
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,,,,23.2,,,9.4,,,,,,,,
Cook Is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.09,,,,,,,,,,11.7,,,,,8.52,,,,,8.2,,,,,0.59,,,1.58,
Colombia,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.15,,7.8,,,7.5,,,9.1,10.8,10.7,10,8.24,,,,7.58,6.69,5.3,5.28,6.75,9.44,9.82,12.5,17.2,16.9,12,12,10.5,10.2,8.74,8.63,8.3,8.47,9.02,8.64,7.91,7.55,7.07,6.72,6.36,6.78,6.87,7.09,7.88,12.2
Comoros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,,,,,,,,,,6.68,,,,,,
Cape Verde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.3,,,,,,,,,,,,,,,,,,,,,,,,,31,,11.8,12.7,10.7,
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.02,4.64,3.34,3.51,3.37,4.57,5.24,4.89,4.2,4.84,4.33,5.14,5.58,5.79,5.41,5.04,4.27,3.2,4.14,6.59,5.96,8.59,8.6,7.7,7.65,7.62,7.24,6.84,8.02,9.14,14
Cuba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.45,4.86,4.73,4.42,4.29,3.81,3.13,2.56,1.71,1.65,1.8,1.73,1.74,1.35,1.47,2.37,2.97,3.37,3.13,2.4,2.3,1.9,1.7,1.6,,
